Date,Price,Open,High,Low,Volume,Chg%,,,,,,,,
27-Jul-21,71.65,72.22,72.33,71.08,333.12K,-0.36%,,,,,,,,
28-Jul-21,72.39,71.9,72.6,71.7,318.91K,1.03%,,,,,,,,
29-Jul-21,73.62,72.4,73.68,72.26,294.46K,1.70%,,,,,,,,
30-Jul-21,73.95,73.41,74.23,72.93,303.70K,0.45%,,,,,,,,
2-Aug-21,71.26,73.91,73.95,70.55,448.20K,-3.64%,,,,,,,,
3-Aug-21,70.56,71.52,71.96,69.19,509.94K,-0.98%,,,,,,,,
4-Aug-21,68.15,70.32,70.81,67.85,582.92K,-3.42%,,,,,,,,
5-Aug-21,69.09,68.06,69.35,67.61,416.33K,1.38%,,,,,,,,
6-Aug-21,68.28,69.14,70.18,67.8,537.14K,-1.17%,,,,,,,,
9-Aug-21,66.48,67.88,67.9,65.15,598.38K,-2.64%,,,,,,,,
10-Aug-21,68.29,66.85,68.9,66.56,452.13K,2.72%,,,,,,,,
11-Aug-21,69.25,68.51,69.45,66.67,513.29K,1.41%,,,,,,,,
12-Aug-21,69.09,69.36,69.62,68.46,352.47K,-0.23%,,,,,,,,
13-Aug-21,68.44,68.91,69.22,67.77,272.03K,-0.94%,,,,,,,,
16-Aug-21,67.29,67.71,68.27,65.73,334.84K,-1.68%,,,,,,,,
17-Aug-21,66.59,67.43,67.72,66.33,235.30K,-1.04%,,,,,,,,
18-Aug-21,65.46,66.58,67.48,64.34,121.20K,-1.70%,,,,,,,,
19-Aug-21,63.69,64.58,64.76,62.63,88.24K,-2.70%,,,,,,,,
20-Aug-21,62.32,64.05,64.1,62.11,24.63K,-2.15%,,,,,,,,
23-Aug-21,65.64,61.96,66,61.74,397.29K,5.33%,,,,,,,,
24-Aug-21,67.54,65.54,67.8,65.41,335.89K,2.89%,,,,,,,,
25-Aug-21,68.36,67.63,68.54,66.92,353.74K,1.21%,,,,,,,,
26-Aug-21,67.42,68,68.31,67.02,344.29K,-1.38%,,,,,,,,
27-Aug-21,68.74,67.75,69.05,67.52,326.06K,1.96%,,,,,,,,
30-Aug-21,69.21,69.3,69.64,67.67,360.80K,0.68%,,,,,,,,
31-Aug-21,68.5,69.18,69.34,68.16,325.85K,-1.03%,,,,,,,,
1-Sep-21,68.59,68.55,69.24,67.12,399.50K,0.13%,,,,,,,,
2-Sep-21,69.99,68.29,70.61,67.84,403.31K,2.04%,,,,,,,,
3-Sep-21,69.29,69.76,70.53,69.05,313.09K,-1.00%,,,,,,,,
5-Sep-21,68.75,69.22,69.23,68.73,0,-0.78%,,,,,,,,
6-Sep-21,68.8,68.75,69.47,68.27,0,0.07%,,,,,,,,
7-Sep-21,68.35,69.11,69.48,67.64,481.70K,-0.65%,,,,,,,,
8-Sep-21,69.3,68.37,69.75,68.31,389.33K,1.39%,,,,,,,,
9-Sep-21,68.14,69.36,69.89,67.56,556.45K,-1.67%,,,,,,,,
10-Sep-21,69.72,67.97,69.96,67.68,411.08K,2.32%,,,,,,,,
13-Sep-21,70.45,69.74,70.97,69.51,390.94K,1.05%,,,,,,,,
14-Sep-21,70.46,70.64,71.22,69.98,414.23K,0.01%,,,,,,,,
15-Sep-21,72.61,70.76,73.14,70.65,418.67K,3.05%,,,,,,,,
16-Sep-21,72.61,72.65,72.99,71.53,298.41K,0.00%,,,,,,,,
17-Sep-21,71.97,72.62,72.72,71.21,119.93K,-0.88%,,,,,,,,
20-Sep-21,70.29,71.92,72.08,69.86,75.84K,-2.33%,,,,,,,,
21-Sep-21,70.56,70.59,71.63,69.67,37.61K,0.38%,,,,,,,,
22-Sep-21,72.23,70.85,72.3,70.64,381.06K,2.37%,,,,,,,,
23-Sep-21,73.3,71.97,73.5,71.61,403.41K,1.48%,,,,,,,,
24-Sep-21,73.98,73.24,74.27,72.81,350.38K,0.93%,,,,,,,,
27-Sep-21,75.45,74.19,75.75,74.16,417.83K,1.99%,,,,,,,,
28-Sep-21,75.29,75.43,76.67,74.24,476.14K,-0.21%,,,,,,,,
29-Sep-21,74.83,74.38,75.79,73.74,424.19K,-0.61%,,,,,,,,
30-Sep-21,75.03,74.78,76.07,73.14,583.19K,0.27%,,,,,,,,
1-Oct-21,75.88,75.12,75.99,74.23,389.00K,1.13%,,,,,,,,
4-Oct-21,77.62,75.9,78.38,75.32,458.01K,2.29%,,,,,,,,
5-Oct-21,78.93,77.58,79.48,77.47,449.62K,1.69%,,,,,,,,
6-Oct-21,77.43,79.04,79.78,76.83,459.06K,-1.90%,,,,,,,,
7-Oct-21,78.3,77,78.89,74.96,545.01K,1.12%,,,,,,,,
8-Oct-21,79.35,78.86,80.11,78.63,662.01K,1.34%,,,,,,,,
11-Oct-21,80.52,79.59,82.18,79.55,653.76K,1.47%,,,,,,,,
12-Oct-21,80.64,80.5,81.62,79.47,598.18K,0.15%,,,,,,,,
13-Oct-21,80.44,80.58,81.04,79.42,487.22K,-0.25%,,,,,,,,
14-Oct-21,81.31,80.59,81.68,80.38,399.81K,1.08%,,,,,,,,
15-Oct-21,82.28,81.48,82.66,81.39,277.95K,1.19%,,,,,,,,
18-Oct-21,82.44,82.6,83.87,81.84,134.10K,0.19%,,,,,,,,
19-Oct-21,82.96,82.37,83.74,81.8,82.61K,0.63%,,,,,,,,
20-Oct-21,83.87,83.34,84.25,81.3,25.72K,1.10%,,,,,,,,
21-Oct-21,82.5,83.58,83.96,80.79,567.50K,-1.63%,,,,,,,,
22-Oct-21,83.76,82.61,84.22,81.76,465.36K,1.53%,,,,,,,,
25-Oct-21,83.76,83.98,85.41,83.39,568.73K,0.00%,,,,,,,,
26-Oct-21,84.65,83.72,84.88,82.97,467.72K,1.06%,,,,,,,,
27-Oct-21,82.66,84.39,84.51,82.01,529.95K,-2.35%,,,,,,,,
28-Oct-21,82.81,82.25,83.21,80.58,491.59K,0.18%,,,,,,,,
29-Oct-21,83.57,83.09,83.74,81.41,507.31K,0.92%,,,,,,,,
1-Nov-21,84.05,83.36,84.88,82.74,412.31K,0.57%,,,,,,,,
2-Nov-21,83.91,83.87,84.41,82.92,429.61K,-0.17%,,,,,,,,
3-Nov-21,80.86,83.07,83.08,79.69,546.58K,-3.63%,,,,,,,,
4-Nov-21,78.81,80.18,83.42,78.25,701.12K,-2.54%,,,,,,,,
5-Nov-21,81.27,79.37,81.8,78.96,531.05K,3.12%,,,,,,,,
8-Nov-21,81.93,81.13,82.67,81.05,393.95K,0.81%,,,,,,,,
9-Nov-21,84.15,82.16,84.63,81.78,504.83K,2.71%,,,,,,,,
10-Nov-21,81.34,84.53,84.97,80.81,555.22K,-3.34%,,,,,,,,
11-Nov-21,81.59,81.41,82.33,80.2,475.44K,0.31%,,,,,,,,
12-Nov-21,80.79,81.21,81.62,79.78,390.30K,-0.98%,,,,,,,,
15-Nov-21,80.88,80.66,81.2,79.3,343.48K,0.11%,,,,,,,,
16-Nov-21,80.76,80.93,81.81,80.03,325.67K,-0.15%,,,,,,,,
17-Nov-21,78.36,80.54,80.69,77.69,174.47K,-2.97%,,,,,,,,
18-Nov-21,79.01,78.34,79.36,77.08,83.98K,0.83%,,,,,,,,
19-Nov-21,76.1,78.76,79.92,75.37,30.70K,-3.68%,,,,,,,,
22-Nov-21,76.75,75.75,77.16,74.76,465.77K,0.85%,,,,,,,,
23-Nov-21,78.5,76.46,78.86,75.3,506.99K,2.28%,,,,,,,,
24-Nov-21,78.39,78.48,79.23,77.98,328.85K,-0.14%,,,,,,,,
25-Nov-21,77.41,78.38,78.65,77.28,0,-1.25%,,,,,,,,
26-Nov-21,68.15,78.34,78.65,67.4,844.63K,-11.96%,,,,,,,,
29-Nov-21,69.95,69.23,72.93,68.86,675.09K,2.64%,,,,,,,,
30-Nov-21,66.18,70.04,71.22,64.43,722.48K,-5.39%,,,,,,,,
1-Dec-21,65.57,67.01,69.49,64.84,602.45K,-0.92%,,,,,,,,
2-Dec-21,66.5,65.63,67.49,62.43,668.29K,1.42%,,,,,,,,
3-Dec-21,66.26,67.5,69.22,65.6,449.97K,-0.36%,,,,,,,,
6-Dec-21,69.49,67.02,70.15,66.72,401.06K,4.87%,,,,,,,,
7-Dec-21,72.05,69.72,73.03,69.52,496.53K,3.68%,,,,,,,,
8-Dec-21,72.36,71.86,73,70.91,464.85K,0.43%,,,,,,,,
9-Dec-21,70.94,72.52,73.34,70.39,393.21K,-1.96%,,,,,,,,
10-Dec-21,71.67,70.68,72.33,70.32,397.88K,1.03%,,,,,,,,
13-Dec-21,71.29,72.04,73,70.71,406.60K,-0.53%,,,,,,,,
14-Dec-21,70.73,71.12,72.03,69.51,359.45K,-0.79%,,,,,,,,
15-Dec-21,70.87,70.35,71.66,69.39,294.34K,0.20%,,,,,,,,
16-Dec-21,72.38,71.48,72.99,71.03,142.54K,2.13%,,,,,,,,
17-Dec-21,70.86,71.92,72.26,69.89,78.13K,-2.10%,,,,,,,,
20-Dec-21,68.23,70.07,70.07,66.04,36.73K,-3.71%,,,,,,,,
21-Dec-21,71.12,69.21,71.55,68.56,358.78K,4.24%,,,,,,,,
22-Dec-21,72.76,71.27,73.16,70.8,306.71K,2.31%,,,,,,,,
23-Dec-21,73.79,73.03,73.95,72.27,270.22K,1.42%,,,,,,,,
27-Dec-21,75.57,73.38,76.09,72.57,268.49K,2.41%,,,,,,,,
28-Dec-21,75.98,75.97,76.92,75.53,249.73K,0.54%,,,,,,,,
29-Dec-21,76.56,76.04,77.37,75.36,283.56K,0.76%,,,,,,,,
30-Dec-21,76.99,76.58,77.44,75.78,231.16K,0.56%,,,,,,,,
31-Dec-21,75.21,76.66,77.08,74.95,237.12K,-2.31%,,,,,,,,
3-Jan-22,76.08,75.69,76.46,74.27,317.63K,1.16%,,,,,,,,
4-Jan-22,76.99,76.02,77.64,75.7,372.85K,1.20%,,,,,,,,
5-Jan-22,77.85,77.18,78.58,76.51,397.90K,1.12%,,,,,,,,
6-Jan-22,79.46,77.24,80.24,76.73,476.67K,2.07%,,,,,,,,
7-Jan-22,78.9,79.62,80.47,78.52,414.43K,-0.70%,,,,,,,,
10-Jan-22,78.23,78.88,79.45,77.83,389.96K,-0.85%,,,,,,,,
11-Jan-22,81.22,78.42,81.59,78.36,481.82K,3.82%,,,,,,,,
12-Jan-22,82.64,81.38,83.1,81.17,420.62K,1.75%,,,,,,,,
13-Jan-22,82.12,82.82,82.94,81.39,364.77K,-0.63%,,,,,,,,
14-Jan-22,83.82,81.73,84.45,81.58,364.44K,2.07%,,,,,,,,
16-Jan-22,83.83,83.78,84.09,83.68,0,0.01%,,,,,,,,
17-Jan-22,83.69,83.84,83.95,82.94,0,-0.17%,,,,,,,,
18-Jan-22,85.43,84.32,86.63,83.5,163.64K,2.08%,,,,,,,,
19-Jan-22,86.96,86.61,87.91,85.77,113.15K,1.79%,,,,,,,,
20-Jan-22,86.9,86.23,87.82,86,30.39K,-0.07%,,,,,,,,
21-Jan-22,85.14,84.57,85.56,82.78,509.10K,-2.03%,,,,,,,,
24-Jan-22,83.31,84.91,86.09,81.9,511.70K,-2.15%,,,,,,,,
25-Jan-22,85.6,84.15,85.71,82.99,507.22K,2.75%,,,,,,,,
26-Jan-22,87.35,85.26,87.95,85.01,459.64K,2.04%,,,,,,,,
27-Jan-22,86.61,87.15,88.54,86.2,427.80K,-0.85%,,,,,,,,
28-Jan-22,86.82,87.5,88.84,86.44,436.17K,0.24%,,,,,,,,
31-Jan-22,88.15,87.45,88.39,86.34,359.08K,1.53%,,,,,,,,
1-Feb-22,88.2,88.15,88.87,86.55,376.84K,0.06%,,,,,,,,
2-Feb-22,88.26,88.35,89.72,87.1,456.86K,0.07%,,,,,,,,
3-Feb-22,90.27,87.98,90.45,86.75,465.77K,2.28%,,,,,,,,
4-Feb-22,92.31,90.19,93.17,90.07,410.93K,2.26%,,,,,,,,
7-Feb-22,91.32,91.82,92.73,90.73,497.75K,-1.07%,,,,,,,,
8-Feb-22,89.36,91.64,91.68,88.51,467.39K,-2.15%,,,,,,,,
9-Feb-22,89.66,89.86,90.58,88.41,445.62K,0.34%,,,,,,,,
10-Feb-22,89.88,90.01,91.74,89.03,492.09K,0.25%,,,,,,,,
11-Feb-22,93.1,90,94.66,89.19,554.42K,3.58%,,,,,,,,
14-Feb-22,95.46,93.91,95.82,92.09,467.07K,2.53%,,,,,,,,
15-Feb-22,92.07,94.83,95.17,90.66,442.64K,-3.55%,,,,,,,,
16-Feb-22,93.66,92.21,95.01,90,401.45K,1.73%,,,,,,,,
17-Feb-22,91.76,90.9,93.36,90.62,212.55K,-2.03%,,,,,,,,
18-Feb-22,91.07,91.63,92.66,89.03,150.38K,-0.75%,,,,,,,,
20-Feb-22,91.62,91.22,91.74,91.08,0,0.60%,,,,,,,,
21-Feb-22,92.65,91.62,93.91,89.08,0,1.12%,,,,,,,,
22-Feb-22,92.35,91.75,96,90.35,40.75K,-0.32%,,,,,,,,
23-Feb-22,92.1,91.74,93.9,90.64,440.57K,-0.27%,,,,,,,,
24-Feb-22,92.81,92.52,100.54,91.45,872.24K,0.77%,,,,,,,,
25-Feb-22,91.59,93.32,95.64,90.06,523.79K,-1.31%,,,,,,,,
28-Feb-22,95.72,94.99,99.1,94.43,490.80K,4.51%,,,,,,,,
1-Mar-22,103.41,96.09,106.78,95.32,698.81K,8.03%,,,,,,,,
2-Mar-22,110.6,107.12,112.51,105.18,651.85K,6.95%,,,,,,,,
3-Mar-22,107.67,111.33,116.57,106.43,592.03K,-2.65%,,,,,,,,
4-Mar-22,115.68,107.96,116.02,107.25,493.88K,7.44%,,,,,,,,
7-Mar-22,119.4,121.33,130.5,115.54,576.02K,3.22%,,,,,,,,
8-Mar-22,123.7,120.67,129.44,117.07,583.11K,3.60%,,,,,,,,
9-Mar-22,108.7,124.66,126.84,103.63,594.77K,-12.13%,,,,,,,,
10-Mar-22,106.02,110.41,114.88,105.53,437.92K,-2.47%,,,,,,,,
11-Mar-22,109.33,105.99,110.29,104.48,368.19K,3.12%,,,,,,,,
14-Mar-22,103.01,109.42,109.72,99.76,344.18K,-5.78%,,,,,,,,
15-Mar-22,96.44,102.28,102.58,93.53,401.69K,-6.38%,,,,,,,,
16-Mar-22,95.04,95.23,99.22,94.07,293.95K,-1.45%,,,,,,,,
17-Mar-22,102.98,95.34,104.24,94.85,210.76K,8.35%,,,,,,,,
18-Mar-22,104.7,103.62,106.28,102.3,74.25K,1.67%,,,,,,,,
21-Mar-22,112.12,105.13,112.69,104.08,77.22K,7.09%,,,,,,,,
22-Mar-22,111.76,112.9,115.01,109.3,22.94K,-0.32%,,,,,,,,
23-Mar-22,114.93,108.85,115.4,108.38,289.18K,2.84%,,,,,,,,
24-Mar-22,112.34,114.47,116.64,110.61,307.24K,-2.25%,,,,,,,,
25-Mar-22,113.9,111.75,114.12,108.68,320.30K,1.39%,,,,,,,,
28-Mar-22,105.96,112.92,112.93,102.83,372.25K,-6.97%,,,,,,,,
29-Mar-22,104.24,103.47,107.84,98.44,387.20K,-1.62%,,,,,,,,
30-Mar-22,107.82,105.24,108.75,104.55,284.54K,3.43%,,,,,,,,
31-Mar-22,100.28,107.45,107.8,99.66,450.85K,-6.99%,,,,,,,,
1-Apr-22,99.27,101.23,101.75,97.78,324.78K,-1.01%,,,,,,,,
4-Apr-22,103.28,98.95,103.94,98.05,288.13K,4.04%,,,,,,,,
